FishID_nodash,Stream,Sex,GenGrp,hindex,cohort,FirstMonthCaught,LastMonthCaught,Longevity,LRS
MCA3P8V0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA3P8Y0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA3R5K0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA3R5O0906,Caigual,M,N,0,2,6/15/09,10/10/09,5,NA
MCA3R8B0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA3R8G0906,Caigual,M,N,0.112,2,6/15/09,12/10/09,7,NA
MCA3R8P0906,Caigual,M,N,0,2,6/15/09,12/10/09,7,2
MCA3R8Y0906,Caigual,M,N,0,2,6/15/09,12/10/09,7,2
MCA3V5G0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA3V5P0906,Caigual,M,N,0.048,2,6/15/09,8/13/09,3,6
MCA3V5R0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA3V5V0906,Caigual,M,N,0,2,6/15/09,9/12/09,4,NA
MCA3V5Y0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA3V8B0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA3V8P0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA3V8R0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,2
MCA3V8V0906,Caigual,M,N,0,2,6/15/09,10/10/09,5,NA
MCA3Y5K0906,Caigual,M,N,0,2,6/15/09,2/10/10,9,NA
MCA3Y5O0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA3Y5P0906,Caigual,M,N,0,2,6/15/09,4/11/10,11,4
MCA3Y5R0906,Caigual,M,N,0,2,6/15/09,11/10/09,6,NA
MCA3Y5V0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA3Y8G0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA3Y8K0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA3Y8O0906,Caigual,M,N,0,2,6/15/09,9/12/09,4,NA
MCA3Y8P0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA3Y8R0906,Caigual,M,N,0,2,6/15/09,9/12/09,4,NA
MCA4G5P0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA4G5V0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,6
