"stream","Sex","hindex","lwr","mn","upr","parameter"
"Taylor","M",0.3,0.89198506548664,1.30688905860068,1.8683208477063,"mu"
"Taylor","M",0.31,0.910909311998825,1.33502128938889,1.91090114237734,"mu"
"Taylor","M",0.32,0.928268481629544,1.36310965880511,1.95400833177701,"mu"
"Taylor","M",0.33,0.946634395407085,1.39112621054669,1.99663485468198,"mu"
"Taylor","M",0.34,0.964348491807016,1.4190425106481,2.03634869122208,"mu"
"Taylor","M",0.35,0.982357791656036,1.44682969237542,2.07831543911108,"mu"
"Taylor","M",0.36,0.998609066683109,1.47445850307317,2.11915347534861,"mu"
"Taylor","M",0.37,1.01621542480036,1.50189935286742,2.16178423286364,"mu"
"Taylor","M",0.38,1.03345519097914,1.52912236512113,2.20134982577257,"mu"
"Taylor","M",0.39,1.05166745437727,1.55609742852958,2.24119790762279,"mu"
"Taylor","M",0.4,1.06898907803432,1.58279425073637,2.28087898229191,"mu"
"Taylor","M",0.41,1.08711019367391,1.60918241334279,2.31870310680938,"mu"
"Taylor","M",0.42,1.10327056761168,1.63523142817681,2.35786033168906,"mu"
"Taylor","M",0.43,1.12112504063693,1.66091079468111,2.39494597965008,"mu"
"Taylor","M",0.44,1.13984927724815,1.6861900582735,2.43138341594975,"mu"
"Taylor","M",0.45,1.15640181089013,1.71103886952747,2.46557158367158,"mu"
"Taylor","M",0.46,1.17194373842456,1.73542704401527,2.50142066416352,"mu"
"Taylor","M",0.47,1.1881984860365,1.75932462265154,2.53762381479434,"mu"
"Taylor","M",0.48,1.20445432540745,1.78270193237103,2.57075308200198,"mu"
"Taylor","M",0.49,1.21863865819292,1.80552964697074,2.60502348331467,"mu"
"Taylor","M",0.5,1.23301370625052,1.82777884794375,2.63685628677505,"mu"
"Taylor","M",0.51,1.24624596077935,1.84942108512959,2.66785243065617,"mu"
"Taylor","M",0.52,1.26151446239273,1.87042843700468,2.69917546348279,"mu"
"Taylor","M",0.53,1.27536694754275,1.89077357043484,2.72822076565494,"mu"
"Taylor","M",0.54,1.2875922335581,1.91042979971203,2.75618218824184,"mu"
"Taylor","M",0.55,1.29939205068193,1.92937114469754,2.78366868892287,"mu"
"Taylor","M",0.56,1.31278009381787,1.94757238789489,2.80883169412437,"mu"
"Taylor","M",0.57,1.32398711047491,1.96500913027743,2.83340695290303,"mu"
"Taylor","M",0.58,1.3362741964984,1.98165784569814,2.85427292594972,"mu"
"Taylor","M",0.59,1.34706131760366,1.99749593371199,2.87638350725369,"mu"
"Taylor","M",0.6,1.35873639229449,2.01250177064518,2.89642239487963,"mu"
"Taylor","M",0.61,1.36785120163333,2.02665475874981,2.91701713324154,"mu"
"Taylor","M",0.62,1.37710384334895,2.03993537328785,2.93370647114143,"mu"
"Taylor","M",0.63,1.38595469723847,2.05232520739371,2.95160211096331,"mu"
"Taylor","M",0.64,1.3935176148089,2.06380701457137,2.96688837042095,"mu"
"Taylor","M",0.65,1.39860048069238,2.07436474868854,2.98058067260881,"mu"
"Taylor","M",0.66,1.40596373098655,2.08398360133834,2.9927326601382,"mu"
"Taylor","M",0.67,1.41320744190747,2.09265003644655,3.006327272278,"mu"
"Taylor","M",0.68,1.41766525475006,2.1003518220113,3.01620059577487,"mu"
"Taylor","M",0.69,1.42360752061459,2.10707805887106,3.02115130386431,"mu"
"Taylor","M",0.7,1.42753689707692,2.11281920640619,3.02745659697313,"mu"
"Taylor","M",0.71,1.43246701964824,2.11756710508925,3.03362637096247,"mu"
"Taylor","M",0.72,1.43691154394738,2.12131499580944,3.03698451937614,"mu"
"Taylor","M",0.73,1.43986573966172,2.12405753590708,3.03999582093409,"mu"
"Taylor","M",0.74,1.44181227784318,2.12579081186495,3.04144977413937,"mu"
"Taylor","M",0.75,1.44343332684965,2.12651234861428,3.04113588036617,"mu"
"Taylor","M",0.76,1.44410094537032,2.12622111542431,3.04381625865644,"mu"
