"stream","Sex","hindex","lwr","mn","upr"
"Caigual","F",0,3.37450424557719,4.01906467305192,4.73579942932198
"Caigual","F",0.01,3.47916520659942,4.12065917068482,4.84407797171454
"Caigual","F",0.02,3.58258014228333,4.22301911087968,4.95349585778705
"Caigual","F",0.03,3.67939232703038,4.32607507143577,5.06012405073123
"Caigual","F",0.04,3.77571407729343,4.42975501918327,5.18067726187457
"Caigual","F",0.05,3.86922851714599,4.53398437069911,5.29691654174744
"Caigual","F",0.06,3.96438630124914,4.63868605999628,5.41400706440913
"Caigual","F",0.07,4.05990515078004,4.74378061317841,5.53128888261015
"Caigual","F",0.08,4.15181052437896,4.84918623003013,5.65231407636977
"Caigual","F",0.09,4.24077153854373,4.95481887249211,5.77988668296477
"Caigual","F",0.1,4.32532504191331,5.06059235994781,5.90593674597921
"Caigual","F",0.11,4.4106031507289,5.16641847122644,6.04100412231324
"Caigual","F",0.12,4.49041190587352,5.27220705320487,6.17370129302471
"Caigual","F",0.13,4.56522579079653,5.37786613586797,6.31086913473085
"Caigual","F",0.14,4.63919828361699,5.48330205366524,6.45554528720351
"Caigual","F",0.15,4.72033969923511,5.58841957297859,6.59985921509928
"Caigual","F",0.16,4.79842248972731,5.69312202549433,6.74212735119358
"Caigual","F",0.17,4.87110837389564,5.79731144725031,6.88176774232712
"Caigual","F",0.18,4.9482866847165,5.90088872310781,7.01990206529966
"Caigual","F",0.19,5.02489467136981,6.0037537363765,7.16238757703106
"Caigual","F",0.2,5.09974738321967,6.10580552330021,7.29966473955317
"Caigual","F",0.21,5.16674327420869,6.20694243209164,7.43862118010033
"Caigual","F",0.22,5.23089525904427,6.30706228618448,7.57898333360888
"Caigual","F",0.23,5.3033517948938,6.40606255135335,7.71750312132389
"Caigual","F",0.24,5.36983473717826,6.50384050633432,7.85100855026615
"Caigual","F",0.25,5.4364479218809,6.60029341656219,7.97942792114914
"Caigual","F",0.26,5.50538018937972,6.69531871062545,8.10935381110582
"Caigual","F",0.27,5.57332888381794,6.78881415902506,8.23680899499026
"Caigual","F",0.28,5.63722805305244,6.88067805481053,8.36093296618741
"Caigual","F",0.29,5.70437936340868,6.97080939565461,8.48212735489466
"Caigual","F",0.3,5.76740904271402,7.05910806691723,8.60660460952039
"Caigual","F",0.31,5.83443540569518,7.14547502524072,8.72119953342663
"Caigual","F",0.32,5.89463800966981,7.22981248220987,8.82968045824662
"Caigual","F",0.33,5.95845825619707,7.31202408760497,8.93829602955287
"Caigual","F",0.34,6.01884627625586,7.3920151117707,9.03566205770442
"Caigual","F",0.35,6.08301470611916,7.46969262662107,9.13722887308427
"Caigual","F",0.36,6.14014385519597,7.54496568479892,9.23782809351991
"Caigual","F",0.37,6.19367942418558,7.61774549650877,9.32522941017975
"Caigual","F",0.38,6.25071866422527,7.68794560354353,9.41797982413097
"Caigual","F",0.39,6.30244026057813,7.75548205002932,9.50000649043829
"Caigual","F",0.4,6.35255131295664,7.82027354941734,9.58648016358291
"Caigual","F",0.41,6.39976983755023,7.88224164725916,9.66111099381044
"Caigual","F",0.42,6.45300036802963,7.94131087930969,9.7343274424154
"Caigual","F",0.43,6.49227272005847,7.99740892451253,9.79898876103378
"Caigual","F",0.44,6.53624411489543,8.05046675243415,9.87217778008476
"Caigual","F",0.45,6.56974441574179,8.10041876472639,9.94367151224611
"Caigual","F",0.46,6.60570418837378,8.14720293021185,9.99895523933608
"Caigual","F",0.47,6.62882057672314,8.19076091320287,10.0585270558957
"Caigual","F",0.48,6.66641043622521,8.23103819468293,10.1098331614141
"Caigual","F",0.49,6.68677562722214,8.26798418599781,10.1595646395086
"Caigual","F",0.5,6.70196175609595,8.30155233472505,10.2033785321479
"Caigual","F",0.51,6.70677890956754,8.33170022241145,10.2501088001254
"Caigual","F",0.52,6.70669374109132,8.3583896538914,10.3057694053174
"Caigual","F",0.53,6.70680011264467,8.38158673792294,10.3462689263616
"Caigual","F",0.54,6.70022975810286,8.40126195890294,10.3905994800221
"Caigual","F",0.55,6.6938059188357,8.41739023944943,10.436180347829
"Caigual","F",0.56,6.67816845360607,8.42995099366492,10.4637931263645
"Caigual","F",0.57,6.66026925190252,8.43892817092265,10.5082497339303
"Caigual","F",0.58,6.62594008837352,8.44431029004518,10.5528352922032
"Caigual","F",0.59,6.58452722952987,8.44609046377364,10.5991756191674
"Caigual","F",0.6,6.54884730883134,8.4442664134545,10.6445606502034
"Caigual","F",0.61,6.49751672900978,8.43884047390005,10.6913168860617
"Caigual","F",0.62,6.44590360163164,8.42981958840813,10.7171985176084
